Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
3-February-2023,696.55,699.15,680.00,691.75,687.655953905249679897,7810,1284,5370593.00,2942,37.67,19.15,-4.80
2-February-2023,687.05,705.25,686.90,696.20,694.394096127160338085,7927,1391,5504462.00,1687,21.28,18.35,9.15
1-February-2023,735.60,735.60,684.35,701.05,714.883499431249045007,58901,4575,42107353.00,18359,31.17,51.25,-34.55
31-January-2023,685.05,744.00,685.05,735.60,727.255932297140328557,18079,2170,13148060.00,3820,21.13,58.95,50.55
30-January-2023,692.60,707.75,678.00,690.60,688.946022727272727272,14080,2266,9700360.00,3538,25.13,29.75,-2.00
27-January-2023,715.65,726.10,686.65,715.50,701.445705593260004680,17092,1969,11989110.00,4762,27.86,39.45,-0.15
25-January-2023,716.05,718.75,699.65,713.30,704.908706006880127017,3779,752,2663850.00,1221,32.31,19.10,-2.75
24-January-2023,681.05,720.55,681.05,714.80,701.330501725511016724,7534,1349,5283824.00,1303,17.29,39.50,33.75
23-January-2023,698.95,698.95,677.80,680.80,685.472421052631578947,4750,851,3255994.00,2169,45.66,21.15,-18.15
20-January-2023,698.85,703.90,688.60,697.20,698.350360576923076923,1664,475,1162055.00,733,44.05,15.30,-1.65
19-January-2023,709.65,715.10,693.95,699.40,702.283540802213001383,5061,721,3554257.00,1866,36.87,21.15,-10.25
18-January-2023,707.95,717.40,678.95,708.05,699.894289340812678274,713788,1466,499576145.00,701870,98.33,38.45,0.10
17-January-2023,691.05,703.35,685.20,698.50,694.780539861895794099,7965,976,5533927.00,1832,23.00,18.15,7.45
16-January-2023,722.05,726.30,685.05,690.15,702.686186186186186186,17316,1889,12167714.00,7543,43.56,41.25,-31.90
13-January-2023,740.50,746.00,721.00,725.00,730.124731425986656112,8843,1347,6456493.00,4102,46.39,25.00,-15.50
12-January-2023,763.95,763.95,742.00,745.95,745.218422504136789851,1813,348,1351081.00,952,52.51,21.95,-18.00
11-January-2023,746.05,767.90,740.00,749.75,754.071160580290145072,7996,889,6029553.00,2735,34.20,27.90,3.70
10-January-2023,769.50,769.50,751.60,758.00,760.282476024411508282,3441,607,2616132.00,1921,55.83,17.90,-11.50
9-January-2023,771.00,776.30,755.90,763.00,764.036836403033586132,6461,845,4936442.00,4190,64.85,20.40,-8.00
6-January-2023,775.00,775.00,756.75,768.80,767.967174119885823025,2102,461,1614267.00,574,27.31,18.25,-6.20
5-January-2023,774.55,778.35,769.40,771.05,773.915114422565194252,3758,652,2908373.00,978,26.02,8.95,-3.50
4-January-2023,765.80,772.20,743.00,761.30,755.857489976916535050,8231,985,6221463.00,2919,35.46,29.20,-4.50
3-January-2023,774.65,785.00,760.70,762.70,769.511471144749290444,8456,865,6506989.00,4513,53.37,24.30,-11.95
2-January-2023,789.55,800.50,769.55,775.55,787.322728663199755276,9807,1050,7721274.00,2700,27.53,30.95,-14.00
30-December-2022,791.25,802.30,784.85,789.80,794.607806423736137116,6943,702,5516962.00,3113,44.84,17.45,-1.45
29-December-2022,758.50,793.70,758.50,778.50,775.823282811996130280,3101,628,2405828.00,629,20.28,35.20,20.00
28-December-2022,785.00,787.45,770.15,773.55,779.604194319086806477,3767,661,2936769.00,1158,30.74,17.30,-11.45
27-December-2022,756.00,801.50,756.00,778.35,785.142074913989436449,20637,2264,16202977.00,7681,37.22,45.50,22.35
26-December-2022,730.05,773.50,730.05,755.30,761.980385554339590874,11879,1424,9051565.00,5280,44.45,43.45,25.25
23-December-2022,755.05,779.05,743.05,750.25,760.432515983980889482,14233,2016,10823236.00,5231,36.75,36.00,-4.80
22-December-2022,745.05,772.45,745.05,767.80,762.036408977556109725,14035,1685,10695181.00,6567,46.79,27.40,22.75
