Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-April-2024,139.85,139.85,136.05,137.40,137.714410729185745975,196548,2143,27067492.00,70827,36.04,3.80,-2.45
29-April-2024,135.85,141.00,134.40,138.75,138.243409901626268445,722144,7508,99831649.00,325306,45.05,6.60,2.90
26-April-2024,135.80,136.50,133.00,135.15,134.748048418496173936,311286,3451,41945181.00,114659,36.83,3.50,-0.65
25-April-2024,134.95,139.10,133.70,134.90,136.041896981373320750,919756,7661,125125351.00,288948,31.42,5.40,-0.05
24-April-2024,131.65,134.30,130.50,131.00,132.195512530114324080,430443,5167,56902633.00,137899,32.04,3.80,-0.65
23-April-2024,130.40,132.70,128.85,130.25,130.721937528480881560,482780,4146,63109937.00,166921,34.57,3.85,-0.15
22-April-2024,127.35,131.35,124.60,129.20,128.243746349788173899,768791,7196,98592638.00,167102,21.74,6.75,1.85
19-April-2024,129.00,131.55,125.55,126.35,127.301930097980121601,552459,7008,70329097.00,183566,33.23,6.00,-2.65
18-April-2024,138.75,138.75,128.55,129.95,132.919699017695283103,1101593,16023,146423410.00,435929,39.57,10.20,-8.80
16-April-2024,132.00,144.80,132.00,142.30,141.602596546617410125,737364,7124,104412657.00,249664,33.86,12.80,10.30
15-April-2024,135.75,137.90,131.75,133.30,134.776584719294411269,141839,1871,19116576.00,42525,29.98,6.15,-2.45
12-April-2024,138.00,141.00,136.10,136.95,138.202654782022432557,228418,2669,31567974.00,60066,26.30,4.90,-1.05
10-April-2024,141.00,143.90,138.10,140.25,140.647893131686988671,502001,6191,70605383.00,125793,25.06,5.80,-0.75
9-April-2024,128.45,146.40,128.45,141.25,141.226444713620592310,1790649,18595,252886992.00,186758,10.43,17.95,12.80
8-April-2024,129.75,130.50,126.35,127.30,128.445862594285289636,161478,2362,20741181.00,71041,43.99,4.15,-2.45
5-April-2024,128.15,129.55,127.35,128.70,128.466129032258064516,50220,872,6451569.00,20598,41.02,2.20,0.55
4-April-2024,128.30,129.60,126.80,128.90,128.294413710303914875,212395,2656,27249092.00,86063,40.52,2.80,0.60
3-April-2024,127.00,128.35,125.65,126.20,127.115354727601125719,190456,2547,24209882.00,73830,38.76,2.70,-0.80
2-April-2024,123.05,130.85,122.20,127.60,126.368176865377023292,633250,4981,80022648.00,127287,20.10,8.65,4.55
1-April-2024,111.65,124.30,111.65,123.10,121.361327903876705074,821445,9112,99691656.00,216835,26.40,12.65,11.45
28-March-2024,111.75,115.35,110.10,110.80,112.639581615948848603,428219,2287,48234409.00,213670,49.90,5.25,-0.95
27-March-2024,113.05,115.55,110.00,110.75,114.143326144392902254,1812970,3149,206938426.00,1593346,87.89,5.55,-2.30
26-March-2024,117.80,118.45,112.25,112.95,115.433961433619645563,1544817,4684,178324346.00,1388331,89.87,6.20,-4.85
22-March-2024,118.85,119.50,117.25,118.00,118.353790556160816304,188165,1980,22270041.00,122204,64.95,2.25,-0.85
21-March-2024,119.60,120.00,116.60,117.25,117.960619949961035232,195048,2121,23007983.00,101629,52.10,3.40,-2.35
20-March-2024,119.50,121.05,116.05,116.75,118.437701393497013934,188375,3106,22310702.00,108188,57.43,5.00,-2.75
19-March-2024,121.05,121.95,118.80,119.30,120.175720343227271209,89853,1109,10798149.00,33864,37.69,3.15,-1.75
18-March-2024,122.60,124.80,120.30,120.85,122.126471367928913003,290461,1833,35472977.00,224859,77.41,4.50,-1.75
15-March-2024,122.05,124.65,119.05,122.95,121.760495034737758538,288303,2429,35103916.00,159435,55.30,5.60,0.90
14-March-2024,116.80,123.95,115.85,121.05,121.052786985243105014,298369,2986,36118399.00,142985,47.92,8.10,4.25
13-March-2024,127.20,128.25,115.95,116.80,118.702696401620734651,1458351,3236,173110196.00,1342256,92.04,12.30,-10.40
12-March-2024,129.60,131.05,126.00,126.40,128.011029064606900719,158853,2975,20334936.00,78801,49.61,5.05,-3.20
11-March-2024,134.05,134.20,126.70,129.25,130.892050028071457077,147837,2511,19350688.00,86719,58.66,7.50,-4.80
7-March-2024,133.40,134.80,132.30,133.25,134.003738750258789716,82113,1279,11003449.00,50582,61.60,2.50,-0.15
6-March-2024,135.25,135.70,131.55,132.00,132.720855395476747526,121815,2244,16167391.00,73324,60.19,4.15,-3.25
5-March-2024,139.50,139.50,134.15,134.70,135.829512461079653691,76117,1058,10338935.00,42221,55.47,5.35,-4.80
4-March-2024,140.05,141.95,136.30,136.80,138.983874632918472940,114416,1949,15901979.00,57827,50.54,5.65,-3.25
2-March-2024,143.15,143.15,139.00,140.35,140.374816478106917695,11579,255,1625400.00,10199,88.08,4.15,-2.80
1-March-2024,138.95,142.35,136.70,140.30,139.401666870531196833,179858,2191,25072505.00,66084,36.74,5.65,1.35
29-February-2024,137.90,138.55,135.00,137.15,136.649227716644367382,109869,1664,15013514.00,43193,39.31,3.55,-0.75
28-February-2024,142.05,142.90,136.85,137.35,139.056042782479247908,123602,2284,17187605.00,61640,49.87,6.05,-4.70
27-February-2024,143.90,146.90,141.55,141.95,144.262852718513420509,58120,1399,8384557.00,21345,36.73,5.35,-1.95
26-February-2024,145.60,146.80,143.15,143.90,144.192905266052523030,123641,1915,17828155.00,58937,47.67,3.65,-1.70
23-February-2024,150.10,150.10,144.35,145.30,146.713539326270573271,262598,2956,38526682.00,111485,42.45,5.75,-4.80
22-February-2024,146.00,151.00,141.75,149.35,147.231455880847021502,458973,5190,67575263.00,140950,30.71,9.25,3.35
21-February-2024,135.00,146.90,133.10,144.65,143.480904036621716122,1008145,12844,144649556.00,483678,47.98,13.80,9.65
20-February-2024,133.40,135.75,133.25,134.50,134.338213778796811879,91590,1496,12304037.00,53535,58.45,2.50,1.10
19-February-2024,136.20,137.20,133.00,133.30,134.539203320827013650,62635,1114,8426863.00,33645,53.72,4.20,-2.90
16-February-2024,138.85,139.00,135.20,135.75,136.373890007838156941,100789,1910,13744988.00,55822,55.38,3.80,-3.10
15-February-2024,133.35,140.50,133.20,138.00,136.600981104289594921,200998,2902,27456524.00,119210,59.31,7.30,4.65
14-February-2024,129.15,133.30,128.70,132.85,131.320096875914307077,61522,1324,8079075.00,24101,39.17,4.60,3.70
13-February-2024,130.05,131.70,128.65,129.95,129.996261562794561692,125186,2689,16273712.00,55839,44.60,3.05,-0.10
12-February-2024,136.90,137.65,129.05,129.80,132.197793893793763319,183944,3469,24316991.00,101064,54.94,8.60,-7.10
9-February-2024,137.85,138.00,134.20,135.85,135.800934815073408196,51561,866,7002032.00,24052,46.65,3.80,-2.00
8-February-2024,140.30,141.00,136.10,136.75,137.967921249094069054,142119,2759,19607863.00,74563,52.47,4.90,-3.55
7-February-2024,142.30,142.30,139.45,140.10,140.530476365642817730,54370,985,7640642.00,22118,40.68,2.85,-2.20
6-February-2024,140.85,142.65,139.50,140.55,140.760139945486351246,49162,835,6920050.00,22677,46.13,3.15,-0.30
5-February-2024,140.30,141.65,138.65,140.35,140.084096849635438162,72690,1026,10182713.00,22668,31.18,3.00,0.05
2-February-2024,142.30,143.70,139.50,140.25,141.219618929922719462,118141,955,16683827.00,90551,76.65,4.20,-2.05
1-February-2024,144.30,147.60,141.20,142.15,145.221383672922022523,350473,3550,50896174.00,214153,61.10,6.40,-2.15
31-January-2024,141.85,145.55,140.80,144.00,143.430861949407194844,177377,2167,25441336.00,85685,48.31,4.75,2.15
30-January-2024,134.85,143.35,134.30,140.15,139.573073660940587081,404407,4559,56444328.00,153644,37.99,9.05,5.30
