Company Name,Industry,Symbol,Market Cap,Bse
Eicher Motors Ltd.,Automobiles - Motorcycles / Mopeds,EICHERMOT,Large,505200
EID Parry (India) Ltd,Sugar,EIDPARRY,Small,500125
Emami Ltd,FMCG - Personal Care,EMAMILTD,Mid,531162
Engineers India Ltd,Infrastructure Developers & Operators,ENGINERSIN,Small,532178
Escorts Kubota Ltd,Automobiles - Tractors,ESCORTS,Mid,500495
FDC Ltd,Pharmaceuticals - Bulk Drugs & Formln,FDC,Small,531599
Federal Bank Ltd,Banks - Private Sector,FEDERALBNK,Mid,500469
Fine Organic Industries Ltd,Chemicals,FINEORG,Small,541557
Firstsource Solutions Ltd,Computers - Software,FSL,Small,532809
Fortis Healthcare Ltd,Healthcare,FORTIS,Mid,532843
Future Retail Ltd,FMCG - Retail,FRETAIL,Small,540064
GAIL (India) Ltd.,Gas Distribution,GAIL,Large,532155
GMM Pfaudler Ltd,Engineering,GMMPFAUDLR,Small,505255
Godfrey Phillips India Ltd,Tobacco Products,GODFRYPHLP,Small,500163
Godrej Consumer Products Ltd,FMCG- Personal Care,GODREJCP,Large,532424
Godrej Properties Ltd,Construction,GODREJPROP,Mid,533150
Granules India Ltd,Pharmaceuticals - Bulk Drugs & Formln,GRANULES,Small,532482
Graphite India Ltd,Electrodes - Graphites,GRAPHITE,Small,509488
Grasim Industries Ltd.,Textiles - Manmade,GRASIM,Large,500300
Gujarat Gas Ltd,Gas Distribution,GUJGASLTD,Mid,539336
Gujarat Narmada Valley Fertilizers & Chemicals Ltd,Chemicals,GNFC,Small,500670
Gujarat State Petronet Ltd,Gas Distribution,GSPL,Mid,532702
Happiest Minds Technologies Ltd,Computers - Software,HAPPSTMNDS,Small,543227
Havells India Ltd,Electric Equipment,HAVELLS,Large,517354
HCL Technologies Ltd.,Computers - Software,HCLTECH,Large,532281
HDFC Asset Management Company Ltd,Finance & Investments,HDFCAMC,Large,541729
HDFC Bank Ltd.,Banks - Private Sector,HDFCBANK,Large,500180
HEG Ltd,Electrodes - Graphites,HEG,Small,509631
HeidelbergCement India Ltd,Cement & Cement Products,HEIDELBERG,Small,500292
Hero MotoCorp Ltd.,Automobiles - Motorcycles / Mopeds,HEROMOTOCO,Large,500182
Hindalco Industries Ltd.,Aluminium and Aluminium Products,HINDALCO,Large,500440
Hindustan Aeronautics Ltd,Aerospace & Defence,HAL,Large,541154
Hindustan Copper Ltd,Mining & Mineral products,HINDCOPPER,Small,513599
Hindustan Petroleum Corporation Ltd,Refineries,HINDPETRO,Mid,500104
