Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-April-2024,44000.00,45374.35,43450.50,45251.00,44852.474358974358974358,156,102,6996986.00,66,42.31,1923.85,1251.00
29-April-2024,45271.85,45600.00,44750.50,44958.25,45248.323741007194244604,139,79,6289517.00,84,60.43,849.50,-313.60
26-April-2024,45089.00,45700.00,44835.80,45126.10,45370.942307692307692307,260,141,11796445.00,129,49.62,864.20,37.10
25-April-2024,44890.05,45200.00,44595.80,44922.55,44802.392971246006389776,7512,181,336555576.00,7347,97.80,604.20,32.50
24-April-2024,44890.80,45500.00,44744.95,44889.25,45066.705035971223021582,139,88,6264272.00,66,47.48,755.05,-1.55
23-April-2024,44907.40,44990.90,44477.00,44663.20,44721.367816091954022988,174,106,7781518.00,99,56.90,513.90,-244.20
22-April-2024,44500.00,45000.00,44221.45,44860.40,44604.739583333333333333,96,62,4282055.00,60,62.50,778.55,360.40
19-April-2024,43520.00,44399.50,43148.45,43997.80,43869.621145374449339207,227,157,9958404.00,72,31.72,1251.05,477.80
18-April-2024,44414.95,44497.70,43477.30,43638.85,43854.216748768472906403,203,128,8902406.00,99,48.77,1020.40,-776.10
16-April-2024,43996.00,45340.00,43950.05,44699.05,44870.888461538461538461,260,172,11666431.00,95,36.54,1389.95,703.05
15-April-2024,43273.60,44846.00,43250.00,44355.20,44001.645962732919254658,161,127,7084265.00,60,37.27,1596.00,1081.60
12-April-2024,43600.00,44500.00,43585.00,44267.75,44179.129310344827586206,348,237,15374337.00,124,35.63,915.00,667.75
10-April-2024,43050.00,44211.25,42578.25,43752.30,43663.114470842332613390,463,308,20216022.00,246,53.13,1633.00,702.30
9-April-2024,42626.05,43150.00,42419.85,43002.60,42876.365339578454332552,427,268,18308208.00,344,80.56,730.15,376.55
8-April-2024,42144.75,42927.50,42103.30,42889.75,42637.427906976744186046,215,154,9167047.00,110,51.16,824.20,745.00
5-April-2024,40845.35,42444.00,40661.15,42144.75,41748.269798657718120805,745,477,31102461.00,514,68.99,1782.85,1299.40
4-April-2024,40285.10,41350.00,40219.90,40947.15,40810.800000000000000000,185,134,7549998.00,89,48.11,1130.10,662.05
3-April-2024,39730.85,40651.00,39490.40,40409.90,40134.586046511627906976,645,402,25886808.00,535,82.95,1160.60,679.05
2-April-2024,38733.90,39799.90,38733.90,39730.85,39342.080808080808080808,198,108,7789732.00,134,67.68,1066.00,996.95
1-April-2024,39266.25,39266.25,38370.00,38539.35,38519.717171717171717171,99,64,3813452.00,48,48.48,896.25,-726.90
28-March-2024,37779.65,38992.05,37779.65,38650.90,38273.478260869565217391,92,67,3521160.00,74,80.43,1212.40,871.25
27-March-2024,37650.00,38100.00,37440.00,37721.35,37775.911504424778761061,226,158,8537356.00,123,54.42,660.00,71.35
26-March-2024,37385.95,38199.90,37139.10,37598.15,37701.500000000000000000,64,41,2412896.00,40,62.50,1060.80,212.20
22-March-2024,36997.55,37478.30,36626.05,37385.95,37127.267857142857142857,56,37,2079127.00,23,41.07,852.25,388.40
21-March-2024,37515.40,37515.40,36900.00,37025.35,37120.066666666666666666,15,13,556801.00,12,80.00,615.40,-490.05
20-March-2024,37800.05,37841.00,37263.30,37378.95,37577.000000000000000000,19,17,713963.00,13,68.42,577.70,-421.10
19-March-2024,37882.85,38180.00,37615.10,38009.55,37904.381502890173410404,173,122,6557458.00,119,68.79,564.90,126.70
18-March-2024,37966.90,38383.00,36712.50,38212.25,37813.806122448979591836,98,61,3705753.00,45,45.92,1670.50,245.35
15-March-2024,36837.20,39097.50,36501.00,38220.10,38102.197333333333333333,1125,543,42864972.00,1017,90.40,2596.50,1382.90
14-March-2024,37060.05,37060.05,36400.05,36772.30,36648.305084745762711864,59,31,2162250.00,39,66.10,660.00,-287.75
13-March-2024,37296.00,37296.00,36238.35,36333.35,36546.013245033112582781,151,89,5518448.00,110,72.85,1057.65,-962.65
12-March-2024,37356.05,37392.65,36966.20,37019.40,37174.252747252747252747,91,63,3382857.00,38,41.76,426.45,-336.65
11-March-2024,37831.50,37886.55,37200.20,37356.05,37651.490909090909090909,55,31,2070832.00,39,70.91,686.35,-475.45
7-March-2024,37606.00,37790.95,37450.00,37700.00,37589.368421052631578947,38,33,1428396.00,18,47.37,340.95,94.00
6-March-2024,37871.65,37871.65,37123.95,37566.05,37540.813471502590673575,193,97,7245377.00,141,73.06,747.70,-305.60
5-March-2024,38353.00,38571.70,37868.25,38003.85,38189.619565217391304347,184,77,7026890.00,141,76.63,703.45,-349.15
4-March-2024,37996.40,38851.20,37663.70,38413.15,38275.404145077720207253,193,124,7387153.00,133,68.91,1187.50,416.75
2-March-2024,37416.25,38439.00,37416.25,38000.00,37998.666666666666666666,15,15,569980.00,7,46.67,1022.75,583.75
1-March-2024,37860.10,38184.25,37847.00,38025.00,38015.867924528301886792,53,38,2014841.00,44,83.02,337.25,164.90
29-February-2024,37677.20,38004.75,37510.00,37857.00,37743.013888888888888888,72,31,2717497.00,55,76.39,494.75,179.80
28-February-2024,38599.90,38599.90,37788.00,37924.60,38152.371134020618556701,194,131,7401560.00,155,79.90,811.90,-675.30
