,Company Name,Industry,Symbol,Ticker Symbol(BSE),Current Close(in ₹),Expected Close(in ₹),Expected Return(%),Estimated Loss(%)
25,Avanti Feeds Ltd,FMCG - Food Processing ,AVANTIFEED,512573,530.8,755.78,42.39,12.86
73,Cyient Ltd,Computers - Software,CYIENT,532175,1806.4,2553.74,41.37,13.7
264,Welspun Living Ltd,Textiles - Products,WELSPUNLIV,514162,149.9,211.49,41.09,20.7
29,Bajaj Electricals Ltd,Domestic Appliances,BAJAJELEC,500031,945.5,1333.47,41.03,10.05
86,EID Parry (India) Ltd,Sugar,EIDPARRY,500125,618.25,864.27,39.79,12.14
84,Edelweiss Financial Services Ltd,Finance & Investments,EDELWEISS,532922,78.81,109.35,38.75,36.64
214,Shilpa Medicare Ltd,Pharmaceuticals - Bulk Drugs & Formln,SHILPAMED,530549,550.7,751.93,36.54,24.89
90,FDC Ltd,Pharmaceuticals - Bulk Drugs & Formln,FDC,531599,452.95,616.28,36.06,8.77
199,PVR Inox Ltd,Entertainment / Electronic Media Software,PVRINOX,532689,1360.35,1718.12,26.3,12.44
250,TV18 Broadcast Ltd,Entertainment / Electronic Media Software,TV18BRDCST,532800,46.14,58.09,25.9,17.17
50,Blue Dart Express Ltd,Logistics,BLUEDART,526612,6310.6,7906.01,25.28,9.67
88,Engineers India Ltd,Infrastructure Developers & Operators,ENGINERSIN,532178,244.6,305.88,25.05,10.89
113,HeidelbergCement India Ltd,Cement & Cement Products,HEIDELBERG,500292,201.65,249.86,23.91,16.03
98,Godfrey Phillips India Ltd,Tobacco Products,GODFRYPHLP,500163,3346.05,3974.67,18.79,10.22
204,Rallis India Ltd,Pesticides / Agrochemicals,RALLIS,500355,266.2,315.59,18.55,20.41
268,Wockhardt Ltd,Pharmaceuticals - Bulk Drugs & Formln,WOCKPHARMA,532300,566.6,670.27,18.3,20.49
229,Sunteck Realty Ltd,Construction,SUNTECK,512179,439.0,515.16,17.35,18.59
200,Quess Corp Ltd,Diversified,QUESS,539978,624.2,718.64,15.13,16.75
218,Sonata Software Ltd,Computers - Software,SONATSOFTW,532221,690.15,794.39,15.1,38.86
77,Delta Corp Ltd,Recreation / Amusement Parks,DELTACORP,532848,122.3,138.74,13.44,21.18
226,Sun Pharma Advanced Research Company Ltd,Pharmaceuticals - Bulk Drugs & Formln,SPARC,532872,233.1,253.94,8.94,15.04
244,Thyrocare Technologies Ltd,Healthcare,THYROCARE,539871,643.8,666.05,3.46,10.56
208,Rossari Biotech Ltd,Chemicals,ROSSARI,543213,748.3,759.98,1.56,8.14
