,Fund House,Fund Name,Expense Ratio(%),Fund Size(in Cr),Risk,Sub Category,Returns(1yr),Returns(3yr),Returns(5yr),Expected Downside Risk(%)
83,Axis Mutual Fund,AXIS Ultra Short Term Fund,0.31,4491.0,Medium Risk,Ultra Short Duration Funds,5.7,5.4,,0.54
227,HDFC Mutual Fund,HDFC Corporate Bond Fund,0.32,23486.0,Medium Risk,Corporate Bond Mutual Funds,4.1,6.9,7.3,2.7
544,Nippon India Mutual Fund,Nippon India Corporate Bond Fund,0.32,1701.0,Medium Risk,Corporate Bond Mutual Funds,5.1,6.8,7.0,1.52
52,Axis Mutual Fund,AXIS Banking & PSU Debt Fund,0.33,13953.0,Medium Risk,Banking and PSU Mutual Funds,4.5,6.4,7.2,1.51
541,Nippon India Mutual Fund,Nippon India Banking & PSU Debt Fund,0.33,4008.0,Medium Risk,Banking and PSU Mutual Funds,4.2,6.9,7.4,2.39
805,UTI Mutual Fund,UTI-Short Term Income Fund,0.33,2269.0,Medium Risk,Short Duration Funds,5.0,8.5,5.4,0.55
45,Aditya Birla Sun Life Mutual Fund,Aditya Birla SL Savings Fund,0.34,14457.0,Medium Risk,Ultra Short Duration Funds,5.5,5.8,6.5,0.83
259,HDFC Mutual Fund,HDFC Ultra Short Term Fund,0.34,13303.0,Medium Risk,Ultra Short Duration Funds,5.4,5.5,,0.56
570,Nippon India Mutual Fund,Nippon India Short Term Fund,0.34,5147.0,Medium Risk,Short Duration Funds,4.3,6.7,7.2,1.74
619,SBI Mutual Fund,SBI Banking and PSU Fund,0.35,4982.0,Medium Risk,Banking and PSU Mutual Funds,3.8,6.2,7.0,3.42
432,Kotak Mahindra Mutual Fund,Kotak Bond – Short Term Fund,0.36,12203.0,Medium Risk,Short Duration Funds,4.4,6.5,7.2,2.22
100,Bank of India Mutual Fund,Bank of India Ultra Short Duration Fund,0.36,118.0,Medium Risk,Ultra Short Duration Funds,5.2,4.7,5.7,1.25
375,Indiabulls Mutual Fund,Indiabulls Dynamic Bond Fund,0.36,25.0,Medium Risk,Dynamic Bond,4.2,5.2,,2.22
458,Kotak Mahindra Mutual Fund,Kotak Savings Fund,0.37,12325.0,Medium Risk,Ultra Short Duration Funds,5.5,5.2,6.2,0.77
6,Aditya Birla Sun Life Mutual Fund,Aditya Birla SL Banking&PSU Debt Fund,0.37,7994.0,Medium Risk,Banking and PSU Mutual Funds,4.5,6.8,7.3,2.24
430,Kotak Mahindra Mutual Fund,Kotak Banking and PSU Debt Fund,0.37,5256.0,Medium Risk,Banking and PSU Mutual Funds,4.7,6.7,7.5,2.41
491,Mahindra Manulife Mutual Fund,Mahindra Manulife Low Duration Fund,0.37,395.0,Medium Risk,Low Duration Funds,5.2,5.5,6.4,1.09
123,Baroda BNP Paribas Mutual Fund,Baroda BNP Paribas Short Duration Fund,0.37,235.0,Medium Risk,Short Duration Funds,4.2,5.7,6.7,3.01
480,LIC Mutual Fund,LIC MF Short Term Debt Fund,0.37,110.0,Medium Risk,Short Duration Funds,3.7,5.7,,2.14
575,Nippon India Mutual Fund,Nippon India USD Fund,0.38,5114.0,Medium Risk,Ultra Short Duration Funds,5.9,7.0,5.9,0.93
46,Aditya Birla Sun Life Mutual Fund,Aditya Birla SL Short Term Fund,0.38,5045.0,Medium Risk,Short Duration Funds,5.5,7.8,7.6,1.24
379,Indiabulls Mutual Fund,Indiabulls Short Term Fund,0.38,25.0,Medium Risk,Short Duration Funds,4.4,5.1,5.9,2.52
345,ICICI Prudential Mutual Fund,ICICI Pru Short Term Fund,0.39,14561.0,Medium Risk,Short Duration Funds,6.4,7.5,7.7,1.24
