Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
4-September-2023,3424.00,3461.45,3411.00,3430.50,3436.916876772770248975,12692,1748,43621349.00,4197,33.07,50.45,6.50
1-September-2023,3373.00,3405.00,3325.00,3399.85,3374.172658055229364748,26399,3697,89074784.00,14249,53.98,80.00,26.85
31-August-2023,3419.95,3419.95,3322.00,3337.55,3363.188690949270164964,51587,4526,173496815.00,35495,68.81,97.95,-82.40
30-August-2023,3366.00,3411.25,3358.10,3407.05,3396.358112541004289679,39630,5542,134597672.00,28218,71.20,53.15,41.05
29-August-2023,3350.05,3369.00,3349.00,3355.00,3357.950621994962985575,13103,1795,43999227.00,5769,44.03,20.00,4.95
28-August-2023,3331.05,3364.00,3331.05,3348.90,3356.885173317797844450,34330,4467,115241868.00,28313,82.47,32.95,17.85
25-August-2023,3330.05,3361.40,3326.05,3341.65,3342.854577568442743597,3397,703,11355677.00,1112,32.73,35.35,11.60
24-August-2023,3360.00,3366.25,3321.55,3334.95,3355.003517411185367569,5686,799,19076550.00,2602,45.76,44.70,-25.05
23-August-2023,3332.05,3380.00,3332.05,3356.00,3360.486822947000582411,13736,1711,46159647.00,6383,46.47,47.95,23.95
22-August-2023,3352.75,3397.60,3327.55,3345.90,3352.695263798084232932,26308,5015,88202707.00,21383,81.28,70.05,-6.85
21-August-2023,3313.00,3370.80,3313.00,3360.95,3347.305266651914140296,9038,1106,30252945.00,3814,42.20,57.80,47.95
18-August-2023,3297.70,3369.65,3275.55,3349.35,3341.336832496576905522,17528,2054,58566952.00,6046,34.49,94.10,51.65
17-August-2023,3321.00,3321.00,3292.60,3297.70,3304.871535932362611554,4258,773,14072143.00,1314,30.86,28.40,-23.30
16-August-2023,3330.05,3345.00,3288.30,3325.75,3311.054608726688676719,11207,2035,37106989.00,4796,42.79,56.70,-4.30
14-August-2023,3366.30,3368.25,3288.00,3339.00,3325.610881476497164279,20806,2634,69192660.00,11736,56.41,80.25,-27.30
11-August-2023,3434.95,3434.95,3377.65,3387.70,3398.751068163371567711,65299,6992,221935046.00,55315,84.71,57.30,-47.25
10-August-2023,3411.60,3433.90,3380.50,3416.20,3420.467449336930937482,34838,5357,119162245.00,26689,76.61,53.40,4.60
9-August-2023,3374.15,3415.00,3333.05,3411.60,3387.033161364287761536,34890,5114,118173587.00,17603,50.45,81.95,37.45
8-August-2023,3359.95,3384.75,3292.30,3373.25,3335.371896353426696434,14781,2029,49300132.00,4351,29.44,92.45,13.30
7-August-2023,3331.05,3375.00,3331.05,3355.55,3356.534393063583815028,13840,2094,46454436.00,5664,40.92,43.95,24.50
4-August-2023,3429.55,3478.15,3350.00,3359.80,3392.022135737140044302,65008,7615,220508575.00,30593,47.06,128.15,-69.75
3-August-2023,3321.05,3385.00,3300.20,3380.10,3360.897259371500098820,30358,4223,102030119.00,13851,45.63,84.80,59.05
