Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-April-2024,1496.25,1536.90,1490.00,1515.60,1507.771349397767009508,272818,11015,411347164.00,87218,31.97,46.90,19.35
29-April-2024,1452.60,1490.45,1450.40,1487.75,1479.559193177107679281,113383,8340,167756860.00,24814,21.89,40.05,35.15
26-April-2024,1510.90,1519.45,1442.65,1445.85,1466.742246320877674718,316108,17423,463648958.00,90407,28.60,76.80,-65.05
25-April-2024,1483.45,1499.00,1471.30,1496.15,1486.543377519129216510,64953,4701,96555452.00,31289,48.17,27.70,12.70
24-April-2024,1475.05,1483.60,1462.85,1474.65,1472.981174990321331784,20664,1517,30437683.00,5416,26.21,20.75,-0.40
23-April-2024,1486.75,1486.75,1470.65,1473.70,1477.407871663311034617,15397,1036,22747649.00,6472,42.03,16.10,-13.05
22-April-2024,1498.55,1500.45,1470.70,1476.40,1480.394628651647837422,119672,7837,177161786.00,21270,17.77,29.75,-22.15
19-April-2024,1450.25,1490.00,1444.80,1483.15,1480.558997777444275311,139929,11521,207173140.00,16997,12.15,45.20,32.90
18-April-2024,1510.95,1510.95,1469.00,1473.95,1488.611482176360225140,26650,1841,39671496.00,8621,32.35,41.95,-37.00
16-April-2024,1521.65,1530.05,1488.00,1490.75,1507.264019348669778952,53337,2678,80392941.00,20150,37.78,42.05,-30.90
15-April-2024,1524.75,1556.05,1524.75,1538.80,1539.703553600135375243,118190,6304,181977563.00,32857,27.80,31.30,14.05
12-April-2024,1543.75,1562.95,1543.70,1555.85,1555.019392230289601626,109219,8347,169837663.00,9210,8.43,19.25,12.10
10-April-2024,1563.15,1566.15,1547.70,1552.65,1557.488890223396588998,16652,2659,25935305.00,8766,52.64,18.45,-10.50
9-April-2024,1571.95,1574.60,1540.80,1554.10,1564.259513534719497842,35686,2675,55822165.00,14823,41.54,33.80,-17.85
8-April-2024,1556.05,1576.00,1549.75,1568.90,1568.337776016463652038,143832,8416,225577159.00,33874,23.55,26.25,12.85
5-April-2024,1556.00,1560.00,1528.85,1550.85,1541.794523680818329244,96196,4671,148314466.00,21306,22.15,31.15,-5.15
4-April-2024,1546.05,1548.20,1510.85,1543.85,1530.639809580481999404,67220,5864,102889608.00,18422,27.41,37.35,-2.20
3-April-2024,1550.05,1555.85,1538.45,1542.90,1545.658463201936863878,42543,2450,65756948.00,17592,41.35,17.40,-7.15
2-April-2024,1541.25,1570.00,1536.75,1559.45,1557.810633056178786678,45462,1879,70821187.00,17131,37.68,33.25,18.20
1-April-2024,1550.75,1572.50,1538.40,1541.10,1552.100530507898508962,67671,3674,105032195.00,36953,54.61,34.10,-9.65
28-March-2024,1531.25,1564.30,1531.25,1555.70,1554.219544385149480690,69708,3936,108341536.00,11428,16.39,33.05,24.45
27-March-2024,1524.60,1542.80,1514.25,1533.15,1528.169487485101311084,62925,3900,96160065.00,45322,72.03,28.55,8.55
26-March-2024,1514.70,1523.20,1502.30,1519.35,1517.395810807412808971,79538,1319,120690628.00,61206,76.95,20.90,4.65
22-March-2024,1473.05,1520.00,1473.05,1509.00,1503.296763749079302725,130336,7155,195933687.00,25857,19.84,46.95,35.95
21-March-2024,1469.15,1486.95,1461.35,1483.80,1477.840956016985468853,51338,3280,75869399.00,25811,50.28,25.60,14.65
20-March-2024,1440.65,1463.50,1423.35,1441.55,1446.946469705615080623,94638,4447,136936120.00,20884,22.07,40.15,0.90
19-March-2024,1479.20,1482.00,1430.90,1434.25,1447.545303315958744593,54102,4318,78315096.00,25116,46.42,51.10,-44.95
18-March-2024,1484.85,1491.90,1467.00,1480.90,1480.268812170860152135,17090,1553,25297794.00,6942,40.62,24.90,-3.95
15-March-2024,1476.95,1489.30,1456.50,1483.70,1478.017788635229755535,116254,6807,171825480.00,30525,26.26,32.80,6.75
14-March-2024,1461.90,1506.30,1461.90,1477.60,1483.502904418236226016,28405,7775,42138900.00,12245,43.11,44.40,15.70
13-March-2024,1531.55,1540.00,1494.75,1499.90,1513.577110956036287508,21495,3663,32534340.00,6454,30.03,45.25,-31.65
12-March-2024,1549.95,1555.60,1528.40,1532.20,1541.106829454406714994,15726,1191,24235446.00,4515,28.71,27.20,-17.75
11-March-2024,1564.00,1565.85,1537.00,1540.20,1546.684162207533312349,38124,3146,58965787.00,19529,51.22,28.85,-23.80
7-March-2024,1553.80,1571.75,1546.45,1564.10,1562.375609317564327952,100112,5051,156412547.00,8446,8.44,25.30,10.30
6-March-2024,1542.85,1564.75,1537.00,1553.75,1555.768668901990601667,80227,5592,124814653.00,31646,39.45,27.75,10.90
5-March-2024,1531.00,1546.75,1524.45,1542.00,1534.811770200840728631,23551,1689,36146352.00,10736,45.59,22.30,11.00
4-March-2024,1527.45,1538.10,1520.60,1531.10,1530.842787741269217902,137502,5956,210493945.00,57212,41.61,17.50,3.65
2-March-2024,1537.95,1565.60,1523.85,1526.50,1531.221887727997166637,5647,370,8646810.00,3889,68.87,41.75,-11.45
1-March-2024,1475.45,1528.45,1475.45,1526.15,1514.188162923849141173,260588,14413,394579265.00,109086,41.86,53.00,50.70
29-February-2024,1450.00,1483.90,1442.30,1475.40,1458.747588939716208735,34321,2598,50065676.00,5413,15.77,41.60,25.40
28-February-2024,1492.95,1503.30,1442.10,1449.15,1471.544862854486285448,34416,2347,50644688.00,14782,42.95,61.20,-43.80
