Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-Apr-24,6476,6642.85,6466,6542.35,6558.808653,9130,1655,59881923,2260,24.75,176.85,66.35
29-Apr-24,6499.3,6499.3,6350,6451.7,6406.024443,5564,983,35643120,1795,32.26,149.3,-47.6
26-Apr-24,6455.5,6488.85,6376.85,6409.05,6425.716436,8238,1575,52935052,2591,31.45,112,-46.45
25-Apr-24,6358.05,6462.5,6348.25,6435.45,6421.352847,9993,1342,64168579,2891,28.93,114.25,77.4
24-Apr-24,6398.7,6398.7,6303,6342.95,6346.017546,15160,1978,96205626,3987,26.3,95.7,-55.75
23-Apr-24,6545.4,6564.85,6293.8,6307.6,6381.716581,15934,3316,101686272,8196,51.44,271.05,-237.8
22-Apr-24,6396.55,6544.3,6318.8,6526.15,6455.211384,16515,2437,106607816,3243,19.64,225.5,129.6
19-Apr-24,6350.45,6368.85,6247.45,6291.2,6304.989609,14340,2062,90413551,2561,17.86,121.4,-59.25
18-Apr-24,6644.8,6650.4,6304.4,6367.2,6425.311616,43130,7046,277123690,9278,21.51,346,-277.6
16-Apr-24,6563.05,6665.95,6522,6647.2,6595.431705,7248,1550,47803689,1865,25.73,143.95,84.15
15-Apr-24,6748.95,6748.95,6546.05,6559.95,6619.131128,7649,1999,50629734,2369,30.97,202.9,-189
12-Apr-24,6664.9,6770.2,6642,6749.4,6739.749929,17579,2154,118478064,3904,22.21,128.2,84.5
10-Apr-24,6649.95,6666,6567.75,6637.45,6626.850844,4559,1082,30211813,1356,29.74,98.25,-12.5
09-Apr-24,6715,6721.7,6501.35,6527.55,6634.447275,5614,1506,37245787,1887,33.61,220.35,-187.45
08-Apr-24,6666.05,6746.85,6628.65,6697.05,6688.725427,5911,1084,39537056,1835,31.04,118.2,31
05-Apr-24,6500.85,6680,6500.85,6665.9,6608.215047,11258,2021,74395285,2705,24.03,179.15,165.05
04-Apr-24,6619.95,6620,6489.05,6500.2,6562.260118,9142,1685,59992182,2943,32.19,130.95,-119.75
03-Apr-24,6510.65,6522.4,6432.25,6505.4,6485.703179,7550,1401,48967059,1902,25.19,90.15,-5.25
02-Apr-24,6508.8,6538,6371.4,6429.15,6431.043534,10911,1876,70169116,4350,39.87,166.6,-79.65
01-Apr-24,6400.65,6569.8,6400.65,6508.35,6504.84884,14574,2308,94801667,5143,35.29,169.15,107.7
28-Mar-24,6270.4,6470,6225.35,6363.3,6359.472606,20461,3200,130121169,5172,25.28,244.65,92.9
27-Mar-24,6198.85,6341,6094,6279.75,6282.936399,38647,4239,242816643,7133,18.46,247,80.9
26-Mar-24,5871.5,5984.8,5871.5,5931.9,5928.106552,6532,1079,38722392,1779,27.24,113.3,60.4
22-Mar-24,5865.35,6020.95,5834.15,5965.35,5938.484752,22855,2902,135724069,5785,25.31,186.8,100
21-Mar-24,5779.55,5878.7,5756.2,5865.35,5827.963633,5362,967,31249541,1061,19.79,122.5,85.8
20-Mar-24,5655.55,5770,5560.05,5730.7,5674.548316,8134,1465,46156776,1988,24.44,209.95,75.15
19-Mar-24,5790,5790,5612,5629.85,5714.385474,4929,838,28166206,818,16.6,178,-160.15
18-Mar-24,5655,5784.95,5625,5764.3,5710.739478,7888,1423,45046313,2212,28.04,159.95,109.3
15-Mar-24,5642.35,5790.9,5586.25,5626.3,5687.893724,20522,3136,116726955,3356,16.35,204.65,-16.05
14-Mar-24,5580.05,5660,5522.5,5639.3,5601.714364,5493,956,30770217,2212,40.27,137.5,59.25
13-Mar-24,5700.25,5812.75,5573.55,5591.75,5683.122067,9929,1787,56427719,1988,20.02,239.2,-108.5
12-Mar-24,5898.55,5898.55,5690.2,5714.75,5780.521021,7326,1283,42348097,1321,18.03,208.35,-183.8
11-Mar-24,5846.95,5936.45,5771.7,5826.05,5867.997913,25395,3148,149017807,5210,20.52,164.75,-20.9
07-Mar-24,5714.95,5789.85,5672.6,5771.7,5741.856915,13160,1865,75562837,5190,39.44,117.25,56.75
06-Mar-24,5669.25,5716.7,5585.9,5703.15,5657.393037,16057,2363,90840760,4254,26.49,130.8,33.9
05-Mar-24,5625,5698.6,5565.3,5687.7,5654.507322,17208,2481,97302762,4451,25.87,133.3,62.7
04-Mar-24,5450.25,5662.8,5450.25,5631.85,5607.111033,31117,3458,174476474,8668,27.86,212.55,181.6
02-Mar-24,5465.1,5523.65,5465.1,5505.45,5508.552083,864,209,4759389,657,76.04,58.55,40.35
01-Mar-24,5499,5525,5454.7,5485.65,5488.075219,18732,2415,102802625,6170,32.94,70.3,-13.35
29-Feb-24,5419.4,5482.5,5352.35,5449.85,5423.576901,13732,1917,74476558,2624,19.11,130.15,30.45
28-Feb-24,5479.95,5555,5381,5419.35,5473.303755,56009,14496,306554270,15212,27.16,174,-60.6
